,video_id,title,publishedate,channel_name,Thumbnails_url,tags,views,likes,dislikes,comments
877,2mWaqsC3U7k, phir se ud chala full song rockstar    ranbir kapoor,2011-12-19 09:24:34+00:00,T-Series,https://i.ytimg.com/vi/2mWaqsC3U7k/mqdefault.jpg,  phir se ud chala    phir se    rockstar full songs    ranbir kapoor songs    mohit chauhan songs    hindi movie full songs    latest hindi songs    phir se ud chala ar rahman    tseries rockstar    sadda haq    nadaan parindey    bollywood songs    nargis fakhri    romantic songs    phir se ud chala rockstar    phir se ud chala rockstar lyrics    phir se ud chala rockstar video    phir se ud chala rockstar full song    phir se ud chala rockstar karaoke    rockstar  film     mohit chauhan  musical artist   ,74077051,509022,14288,11331
878,-9fMvHicwLE,girl i need you lyrical   baaghi   tiger  shraddha   arijit singh  meet bros  roach killa  khushboo,2016-05-04 07:14:55+00:00,T-Series,https://i.ytimg.com/vi/-9fMvHicwLE/mqdefault.jpg,  girl i need you lyrical    lyrics of girl i need you    girl i need your lyrics    girl i need you song    girl i need you full song    girl i need you    baaghi songs    baaghi movie songs    baaghi full songs    movie songs    video songs    songs    song    new songs    new song    bollywood songs    hindi songs    baaghi    baagi    tiger shroff    shraddha kapoor    meet bros    arijit singh    meet bros songs    arijit songs    tiger shroff songs    baaghi 2016    2016    indian songs    hindi    new    lyrics    lyrical  ,71349911,511590,22139,9694
879,1cDoRqPnCXU,dilli wali girlfriend full song yeh jawaani hai deewani   ranbir kapoor  deepika padukone   pritam,2013-06-27 10:19:13+00:00,T-Series,https://i.ytimg.com/vi/1cDoRqPnCXU/mqdefault.jpg,    dilli wali girlfriend        dilli wali girlfriend full song hd 1080p        delhi wali girlfriend song      badtameez dil    balam pichkari song    dilli wali girlfreind - yeh jawani hai deewani      dilliwaali girl friend      yeh jawani hai deewani trailer      yeh jawani hai deewani songs      laetest bollywood songs    new hindi songs 2013      balam pichkari song      delhi wali girlfriend    yeh jawani hai deewani full movie    yeh jawani hai deewani full songs  ,69082841,348766,21997,7085
880,hJBHSmyqv0Y,humraah full song   malang   aditya r k  disha p anil k kunal k   sachet t   mohit s   fusion p,2020-02-15 09:35:23+00:00,T-Series,https://i.ytimg.com/vi/hJBHSmyqv0Y/mqdefault.jpg,  new songs    tseries    bollywood songs    tseries movie songs    t-series    hindi new songs    bollywood hindi    humraah disha patani song    humraah song    malang song    humraah video song    malang movie song    humraah malang movie song    malang movie all song    malang movie new song    humraah full song    humraah song aditya roy    humraah song status    humraah    malang songs    bollywood songs 2020    aditya roy kapoor    arijit singh songs    humraah video  ,64848268,370273,19601,9462
881,c64I9HNpiOY,padmaavat  ek dil ek jaan video song   deepika padukone   shahid kapoor   sanjay leela bhansali,2017-11-11 06:14:19+00:00,T-Series,https://i.ytimg.com/vi/c64I9HNpiOY/mqdefault.jpg,  ek dil ek jaan video song     ek dil ek jaan     ek dil ek jaan video    padmavati    padmavati songs    padmavati movie song    deepika padukone    ranveer singh    ghoomar    padmavati song    deepika padukone    shahid kapoor    sanjay leela bhansali    padmavati deepika padukone    ghoomar    ghoomar deepika padukone    padmavati songs    new hindi songs    hindi songs    shahid kapoor    sanjay leela bhansali    indian songs    padmavati songs    love song    love song 2017    do dil ek jaan  ,63152548,418730,26997,15257
882,ZxiETzt9icM,khairiyat video   chhichhore   nitesh tiwari   arijit singh   sushant  shraddha   pritam   amitabh b,2019-08-31 11:33:34+00:00,T-Series,https://i.ytimg.com/vi/ZxiETzt9icM/mqdefault.jpg,  khairiyat video    chhichhore    songs 2019    songs    tseries songs    new songs 2019    t-series    songs    bollywood songs    latest hindi songs tseries    chhichhore    chhichhore trailer    chhichhore songs    chhichhore movie songs    shraddha kapoor    sushant singh rajput    chhichhore 2    chhichhore cast    varun sharma    tushar pandey    nitesh tiwari    shraddha kapoor movies    chhichhore movie    chhichhore the movie    woh din    college life    arijit singh    arijit singh new song    khairiyat arijit singh  ,62686767,908864,28736,25594
883,EkpHXNymFYE,kithe reh gaya video   neeti mohan   abhijit vaghani    kumaar   new song 2019   t-series,2019-01-31 08:33:43+00:00,T-Series,https://i.ytimg.com/vi/EkpHXNymFYE/mqdefault.jpg,  songs new 2019    movie songs    film songs    tseries    ries    kithe reh gaya    latest hindi songs tseries    new songs    songs 2019    songs    new music 2019    hindi songs    t-series music    tseries offical channel    latest songs    bollywood songs    kithe reh gaya video    tseries songs    top songs 2019    songs 2019    songs    t-series    new songs 2019    neeti mohan    neeti mohan new song  ,61629938,508474,27254,10594
884,k4sv4Sdp_DU,teri yaad (reprise) full video song   teraa surroor   himesh reshammiya  farah karimaee   t-series,2016-03-21 08:27:25+00:00,T-Series,https://i.ytimg.com/vi/k4sv4Sdp_DU/mqdefault.jpg,  teri yaad reprise song    teri yaad reprise    teri yaad song    teri yaad teraa surroor    teri yaad video    teri yaad full song    teri yaad teraa surroor song    teri yaad badshah    badshah teri yaad    teraa surroor songs    teri yaad    teraa surroor movie songs    new songs    latest songs    hindi songs    new songs 2016    bollywood songs    bollywood songs 2016    songs    2016    song    new    video    video songs    himesh reshammiya    badshah    badshah songs    latest    tera suroor    tera suroor 2    trailer    movie    remix  ,61558583,257493,22438,7661
885,6iVqikzTqQM, ghoonghat mein chand hoga  khoobsurat ft. sanjay dutt  urmila martondkar,2011-05-30 09:17:12+00:00,T-Series,https://i.ytimg.com/vi/6iVqikzTqQM/mqdefault.jpg,  ghoonghat mein chand hoga    khoobsurat    kumar sanu    kavita krishnamurthy    sanjay chhel    jatin pandit    lalit pandit    sanjay dutt    urmila martondkar    tseries movies    hindi songs    hindi movies    official song    hindi bollywood song    latest hindi song    full hindi song    latest hindi movies    full movies song    latest bollywood song    bollywood romantic song    ghoonghat mein chand hoga song    bollywood song    tseries  ,59996905,150080,21985,4088
886,r6r8UYU7Zcs,shubh mangal zyada saavdhan trailer   ayushmann khurrana  neena g  gajraj r  jitu k 21 february 2020,2020-01-20 08:03:57+00:00,T-Series,https://i.ytimg.com/vi/r6r8UYU7Zcs/mqdefault.jpg,  shubh mangal zyada saavdhan    shubh mangal zyada saavdhan trailer    shubh mangal zyada saavdhan official trailer    shubh mangal zyada saavdhan 2020    ayushmann khurrana    homosexuality    shubh mangal saavdhan    gay relationships    ayushmann khurrana new movie    ayushmann khurrana movie    ayushmann khurrana andhadhun    shubh mangal    trailer 2020    bollywood trailer 2020    tseries films    tseries movies    shubh mangal saavdhan    ayushmann khurrana    shubh mangal zyada saavdhan teaser  ,57172974,730463,54381,32592
